Model,Dark Matter mass [GeV],Mediator mass [GeV],Acceptance (LO),Acceptance (NLO),Acceptance (NLO) / Acceptance (LO)
MonoZ_V1,1,10,2e-05,0.0,0.0
MonoZ_V1,1,100,0.00032,0.0004,1.25
MonoZ_V1,1,300,0.00231,0.0037,1.60173160173
MonoZ_V1,1,2000,0.0298011920477,0.037203720372,1.24839705447
MonoZ_V1,10,10,0.00019,0.0002,1.05263157895
MonoZ_V1,10,100,0.0004,0.0005,1.25
MonoZ_V1,10,10000,0.0218619675771,0.027202720272,1.24429423729
MonoZ_V1,50,10,0.00143,0.0022,1.53846153846
MonoZ_V1,50,95,0.00075,0.0008,1.06666666667
MonoZ_V1,50,300,0.00259,0.0026,1.00386100386
MonoZ_V1,150,10,0.00564,0.008,1.41843971631
MonoZ_V1,150,295,0.00288,0.0044,1.52777777778
MonoZ_V1,150,1000,0.01526,0.015501550155,1.01582897477
MonoZ_V1,500,10,0.0208812528752,0.0252,1.20682413793
MonoZ_V1,500,995,0.01652,0.0197,1.19249394673
MonoZ_V1,500,2000,0.0301024081927,0.0354,1.17598564784
MonoZ_V1,500,10000,0.0307455341962,0.0362072414483,1.17764229489
MonoZ_V1,1000,10,0.0354835483548,0.043604360436,1.22886133033
MonoZ_V1,1000,1000,0.0387631010481,0.0446089217844,1.15080890275
MonoW_V1Z_V1,1000,1995,0.0337026962157,0.0368147258904,1.0923377066
MonoW_V1,1,100,0.00076,0.0004,0.526315789474
MonoW_V1,1,300,0.00354007080142,0.0037,1.04517683616
MonoW_V1,1,2000,0.0358635863586,0.037203720372,1.03736754044
MonoW_V1,10,10,0.00014,0.0002,1.42857142857
MonoW_V1,10,100,0.00038,0.0005,1.31578947368
MonoW_V1,10,10000,0.0277011080443,0.027202720272,0.982008381344
MonoW_V1,50,10,0.00168,0.0022,1.30952380952
MonoW_V1,50,95,0.00128,0.0008,0.625
MonoW_V1,50,300,0.00344,0.0026,0.755813953488
MonoW_V1,150,10,0.00862,0.008,0.92807424594
MonoW_V1,150,295,0.00452,0.0044,0.973451327434
MonoW_V1,150,1000,0.02036,0.015501550155,0.761372797398
MonoW_V1,500,10,0.0272605452109,0.0252,0.924412912693
MonoW_V1,500,995,0.02136,0.0197,0.922284644195
MonoW_V1,500,2000,0.037580751615,0.0354,0.941971580628
MonoW_V1,500,10000,0.0398679735947,0.0362072414483,0.908178625188
MonoW_V1,1000,10,0.0436434914793,0.043604360436,0.999103393382
MonoW_V1,1000,1000,0.0419075433578,0.0446089217844,1.06446043385
MonoW_V1,1000,1995,0.0390846901628,0.0368147258904,0.941921906941
