
dsid,samplename,mzp,mdm,mdh,xsec_pb,factor,filter
600035,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p01x0p5,500,100,70,0.0051388,1.0,0.76235328
600036,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p01x0p5,2000,100,70,6.626e-05,1.0,0.9092245800000001
600037,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p1x0p5,500,100,70,0.18454,1.0,0.76299008
600038,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p1x0p5,2000,100,70,0.002672,1.0,0.90760654
600039,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p25x0p5,500,100,70,0.25858,1.0,0.76805518
600040,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p25x0p5,2000,100,70,0.0035948,1.0,0.9237305000000001
600041,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p01x1p0,500,100,70,0.020801999999999998,1.0,0.7640666599999999
600042,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p01x1p0,2000,100,70,0.00025973999999999995,1.0,0.9096419600000001
600043,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p1x1p0,500,100,70,1.4297999999999997,1.0,0.7654147
600044,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p1x1p0,2000,100,70,0.018788,1.0,0.9147366800000001
600045,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p25x1p0,500,100,70,3.2861999999999996,1.0,0.7683142999999999
600046,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p25x1p0,2000,100,70,0.041346,1.0,0.9320396800000001
600047,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p01x1p5,500,100,70,0.046852,1.0,0.7672019999999999
600048,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p01x1p5,2000,100,70,0.00053954,1.0,0.9201912200000001
600049,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p1x1p5,500,100,70,3.8724,1.0,0.77018098
600050,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p1x1p5,2000,100,70,0.04502199999999999,1.0,0.9253383
600051,MadGraphPy8EG_A14NNP23LO_monoSbb_zp500_dm100_dh70q0p25x1p5,500,100,70,12.431999999999999,1.0,0.77068936
600052,MadGraphPy8EG_A14NNP23LO_monoSbb_zp2000_dm100_dh70q0p25x1p5,2000,100,70,0.13466,1.0,0.93884452
